0000 - *CLS             *CLS          :*CLS
0092 - NPLC             NPLC          [:SENSe]:FRESistance:NPLC
0093 - STATe?           STAT?         [:SENSe]:FRESistance:NULL[:STATe]?
0094 - STATe            STAT          [:SENSe]:FRESistance:NULL[:STATe]
0095 - VALue?           VAL?          [:SENSe]:FRESistance:NULL:VALue?
0096 - VALue            VAL           [:SENSe]:FRESistance:NULL:VALue
0097 - AUTO?            AUTO?         [:SENSe]:FRESistance:RANGe:AUTO?
0098 - AUTO             AUTO          [:SENSe]:FRESistance:RANGe:AUTO
0099 - UPPer?           UPP?          [:SENSe]:FRESistance:RANGe[:UPPer]?
009A - UPPer            UPP           [:SENSe]:FRESistance:RANGe[:UPPer]
009B - RESolution?      RES?          [:SENSe]:FRESistance:RESolution?
009C - RESolution       RES           [:SENSe]:FRESistance:RESolution
009D - ON?              ON?           [:SENSe]:FUNCtion[:ON]?
009E - ON               ON            [:SENSe]:FUNCtion[:ON]
009F - CAPacitance?     CAP?          [:SENSe]:MEASure:CAPacitance?
00A0 - CONTinuity?      CONT?         [:SENSe]:MEASure:CONTinuity?
00A1 - AC?              AC?           [:SENSe]:MEASure:CURRent:AC?
00A2 - DC?              DC?           [:SENSe]:MEASure:CURRent[:DC]?
00A3 - DIODe?           DIOD?         [:SENSe]:MEASure:DIODe?
00A4 - FREQuency?       FREQ?         [:SENSe]:MEASure:FREQuency?
00A5 - FRESistance?     FRES?         [:SENSe]:MEASure:FRESistance?
00A6 - PERiod?          PER?          [:SENSe]:MEASure:PERiod?
00A7 - RESistance?      RES?          [:SENSe]:MEASure:RESistance?
00A8 - AC?              AC?           [:SENSe]:MEASure[:VOLTage]:AC?
00A9 - DC?              DC?           [:SENSe]:MEASure[:VOLTage][:DC]?
00AA - NSTates?         NST?          [:SENSe]:MEMory:NSTates?
00AB - CATalog?         CAT?          [:SENSe]:MEMory:STATe:CATalog?
00AC - DELete           DEL           [:SENSe]:MEMory:STATe:DELete
00AD - ALL              ALL           [:SENSe]:MEMory:STATe:DELete:ALL
00AE - NAME?            NAME?         [:SENSe]:MEMory:STATe:NAME?
00AF - NAME             NAME          [:SENSe]:MEMory:STATe:NAME
00B0 - AUTO?            AUTO?         [:SENSe]:MEMory:STATe:RECall:AUTO?
00B1 - AUTO             AUTO          [:SENSe]:MEMory:STATe:RECall:AUTO
00B2 - SELect?          SEL?          [:SENSe]:MEMory:STATe:RECall:SELect?
00B3 - SELect           SEL           [:SENSe]:MEMory:STATe:RECall:SELect
00B4 - VALid?           VAL?          [:SENSe]:MEMory:STATe:VALid?
00B5 - SLOPe?           SLOP?         [:SENSe]:OUTPut:TRIGger:SLOPe?
