nohup: ignoring input
Panel curve /home/ian/src/embedded-mcp/Logs/bench/panel-iv-2026-08-24_145423.json: Voc 7.711 V, Isc 0.1935 A, MPP 1.0981 W @ 6.249 V / 0.1757 A (140 points) -- CH1 follows this curve (alpha 0.4, tick 0.0 s)
DMM: Keysight Technologies,34461A,MY53222530,A.02.14-02.40-02.14-00.49-01-01
Resting V_bat: 3.3160 V
CH2 series ammeter: 0.000 V source, range 3.0 A, compliance +/-3.0 A | CH1 solar: curve follower from Voc 7.711 V, +0.2128/-0.01 A
CH1 on: 7.7127 V (set 7.7114 V; sag under load is panel behavior)
waiting 3.0 s for the board to boot from solar...
CH2 on: 0.0 V across the ammeter (0 near-zero = healthy loop; boot-loop transients are expected and bounded by compliance)
========================================================================
FIRST SAMPLE: i_chg = +0.3196 A (i2_raw +0.3196 A, --sign +1) -- if this is negative while the battery is charging, rerun with --sign -1
========================================================================
[0:44:58] #1350 V_bat=3.3874 V i_chg=+0.2785 A P_in=1.090 W Ah=0.2081 Wh=0.7044 eff=86.5% flags=-
[0:45:58] #1380 V_bat=3.3876 V i_chg=+0.2785 A P_in=1.091 W Ah=0.2128 Wh=0.7201 eff=86.5% flags=-
[0:46:58] #1410 V_bat=3.3877 V i_chg=+0.2784 A P_in=1.090 W Ah=0.2174 Wh=0.7359 eff=86.5% flags=-
[0:47:58] #1440 V_bat=3.3878 V i_chg=+0.2784 A P_in=1.090 W Ah=0.2221 Wh=0.7516 eff=86.5% flags=-
[0:48:58] #1470 V_bat=3.3880 V i_chg=+0.2784 A P_in=1.090 W Ah=0.2267 Wh=0.7673 eff=86.5% flags=-
[0:49:58] #1500 V_bat=3.3882 V i_chg=+0.2784 A P_in=1.090 W Ah=0.2313 Wh=0.7830 eff=86.5% flags=-
[0:50:58] #1530 V_bat=3.3883 V i_chg=+0.2784 A P_in=1.091 W Ah=0.2360 Wh=0.7987 eff=86.5% flags=-
[0:51:58] #1560 V_bat=3.3884 V i_chg=+0.2784 A P_in=1.091 W Ah=0.2406 Wh=0.8145 eff=86.5% flags=-
[0:52:58] #1590 V_bat=3.3886 V i_chg=+0.2784 A P_in=1.090 W Ah=0.2453 Wh=0.8302 eff=86.5% flags=-
[0:53:58] #1620 V_bat=3.3888 V i_chg=+0.2783 A P_in=1.090 W Ah=0.2499 Wh=0.8459 eff=86.5% flags=-
[0:54:58] #1650 V_bat=3.3889 V i_chg=+0.2784 A P_in=1.090 W Ah=0.2545 Wh=0.8616 eff=86.5% flags=-
[0:55:58] #1680 V_bat=3.3891 V i_chg=+0.2784 A P_in=1.090 W Ah=0.2592 Wh=0.8773 eff=86.5% flags=-
[0:56:58] #1710 V_bat=3.3893 V i_chg=+0.2783 A P_in=1.090 W Ah=0.2638 Wh=0.8931 eff=86.5% flags=-
[0:57:58] #1740 V_bat=3.3895 V i_chg=+0.2783 A P_in=1.091 W Ah=0.2685 Wh=0.9088 eff=86.5% flags=-
[0:58:58] #1770 V_bat=3.3896 V i_chg=+0.2783 A P_in=1.090 W Ah=0.2731 Wh=0.9245 eff=86.5% flags=-
[0:59:58] #1800 V_bat=3.3898 V i_chg=+0.2783 A P_in=1.090 W Ah=0.2777 Wh=0.9402 eff=86.5% flags=-
[1:00:58] #1830 V_bat=3.3900 V i_chg=+0.2783 A P_in=1.090 W Ah=0.2824 Wh=0.9560 eff=86.5% flags=-
[1:01:58] #1860 V_bat=3.3902 V i_chg=+0.2783 A P_in=1.090 W Ah=0.2870 Wh=0.9717 eff=86.5% flags=-
[1:02:58] #1890 V_bat=3.3904 V i_chg=+0.2783 A P_in=1.091 W Ah=0.2916 Wh=0.9874 eff=86.5% flags=-
[1:03:58] #1920 V_bat=3.3906 V i_chg=+0.2783 A P_in=1.090 W Ah=0.2963 Wh=1.0031 eff=86.5% flags=-
[1:04:58] #1950 V_bat=3.3908 V i_chg=+0.2782 A P_in=1.090 W Ah=0.3009 Wh=1.0189 eff=86.5% flags=-
[1:05:58] #1980 V_bat=3.3910 V i_chg=+0.2782 A P_in=1.090 W Ah=0.3056 Wh=1.0346 eff=86.5% flags=-
[1:06:58] #2010 V_bat=3.3912 V i_chg=+0.2782 A P_in=1.090 W Ah=0.3102 Wh=1.0503 eff=86.5% flags=-
[1:07:58] #2040 V_bat=3.3915 V i_chg=+0.2782 A P_in=1.091 W Ah=0.3148 Wh=1.0660 eff=86.5% flags=-
[1:08:58] #2070 V_bat=3.3917 V i_chg=+0.2782 A P_in=1.090 W Ah=0.3195 Wh=1.0818 eff=86.5% flags=-
[1:09:58] #2100 V_bat=3.3919 V i_chg=+0.2782 A P_in=1.090 W Ah=0.3241 Wh=1.0975 eff=86.5% flags=-
[1:10:58] #2130 V_bat=3.3922 V i_chg=+0.2782 A P_in=1.090 W Ah=0.3287 Wh=1.1132 eff=86.5% flags=-
[1:11:58] #2160 V_bat=3.3924 V i_chg=+0.2781 A P_in=1.090 W Ah=0.3334 Wh=1.1289 eff=86.5% flags=-
[1:12:58] #2190 V_bat=3.3927 V i_chg=+0.2781 A P_in=1.090 W Ah=0.3380 Wh=1.1447 eff=86.5% flags=-
[1:13:58] #2220 V_bat=3.3929 V i_chg=+0.2781 A P_in=1.091 W Ah=0.3426 Wh=1.1604 eff=86.5% flags=-
[1:14:58] #2250 V_bat=3.3932 V i_chg=+0.2781 A P_in=1.090 W Ah=0.3473 Wh=1.1761 eff=86.5% flags=-
[1:15:58] #2280 V_bat=3.3935 V i_chg=+0.2781 A P_in=1.090 W Ah=0.3519 Wh=1.1918 eff=86.5% flags=-
[1:16:58] #2310 V_bat=3.3938 V i_chg=+0.2781 A P_in=1.091 W Ah=0.3566 Wh=1.2076 eff=86.5% flags=-
[1:17:58] #2340 V_bat=3.3941 V i_chg=+0.2780 A P_in=1.090 W Ah=0.3612 Wh=1.2233 eff=86.5% flags=-
[1:18:58] #2370 V_bat=3.3944 V i_chg=+0.2780 A P_in=1.090 W Ah=0.3658 Wh=1.2390 eff=86.5% flags=-
